character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Michael Strogoff.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Dean Swift,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Jules Verne,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,5
Mary St. John.=,1,0.0,0.017015242821694435,3.5204177010752485e-13,0.0020903902031400123,2
Friend?=,1,0.0,0.017015242821694435,3.5204177010752485e-13,0.0020903902031400123,1
Louise de la Valliere.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Alexandre Dumas,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,6
Lorna Doone.=,1,0.0,0.14677803039872006,0.00012567378402471966,0.0014887358914220834,1
Knight Errant.=,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
Kith,1,0.0,0.14656744498925275,0.0007151034040866539,0.0008457511700713377,1
Miss Muloch,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
John Halifax,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Charlotte Bronte,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,4
W. Clark Russell,1,0.0,0.19023744722068747,0.002424117292612179,0.0008383141066945546,2
Hardy Norseman,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
Gulliver,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Green Mountain Boys,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Burgomaster,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
D. P. Thompson,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Louisa Muhlbach,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,3
Frederick the Great,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Son.= By Charles Dickens,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,3
Dombey,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
James Fenimore Cooper,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,11
Deerslayer,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Deemster,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
"Bondman , The.= By Hall Caine",1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
John Ruskin,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Crown of Wild Olive,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Madame De Stael,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Corinne.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
George Ebers,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,5
Professor Michael,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
